id,sensing_time,mission_id,cloud_cover,mean_ndvi
342,2022-09-08T17:18:37.025000,SENTINEL-2A,63.4811132013497,0.068442
341,2022-09-18T17:18:34.260000,SENTINEL-2A,54.7257308369913,0.049525
1131,2022-09-28T17:18:33.162000,SENTINEL-2A,35.8682851085431,0.199311
579,2022-10-08T17:18:32.188000,SENTINEL-2A,48.5411329093135,0.207884
581,2022-10-18T17:18:28.366000,SENTINEL-2A,64.1581713398429,0.089633
1017,2022-10-28T17:18:29.399000,SENTINEL-2A,18.1523186718027,0.167846
998,2022-11-17T17:18:27.630000,SENTINEL-2A,13.3185224999253,0.203372
997,2022-11-27T17:18:25.565000,SENTINEL-2A,7.94054764250948,0.184776
934,2022-12-07T17:18:22.391000,SENTINEL-2A,0.0,0.000000
932,2022-12-07T17:18:29.026000,SENTINEL-2A,0.0,0.217835
936,2022-12-17T17:18:25.035000,SENTINEL-2A,0.0782346442115321,0.197850
656,2023-01-06T17:18:24.732000,SENTINEL-2A,0.177789721998268,nan
653,2023-01-16T17:18:22.007000,SENTINEL-2A,0.0,0.181587
658,2023-01-26T17:18:23.210000,SENTINEL-2A,42.2219833378124,0.071468
782,2023-02-15T17:18:22.743000,SENTINEL-2A,0.0,0.171590
784,2023-02-25T17:18:23.482000,SENTINEL-2A,0.104750813700021,0.166711
201,2023-03-07T17:18:21.591000,SENTINEL-2A,0.0,0.166481
199,2023-03-17T17:18:23.710000,SENTINEL-2A,9.76840156469288,0.130043
268,2023-03-27T17:18:23.955000,SENTINEL-2A,0.365582728657171,0.155527
679,2023-04-06T17:18:25.789000,SENTINEL-2A,10.8230762339873,0.119072
678,2023-04-16T17:18:25.392000,SENTINEL-2A,13.0019707963809,0.117797
1057,2023-04-26T17:18:25.831000,SENTINEL-2A,0.845382065752934,0.135911
821,2023-05-06T17:18:25.978000,SENTINEL-2A,1.02433634924901,0.157220
968,2023-05-26T17:18:29.355000,SENTINEL-2A,6.88990414763057,0.138099
264,2023-06-05T17:18:29.556000,SENTINEL-2A,10.8954582101586,0.147183
263,2023-06-15T17:18:30.105000,SENTINEL-2A,5.18274657350175,0.172295
1105,2023-06-25T17:18:29.150000,SENTINEL-2A,64.8939950431485,0.065389
922,2023-07-05T17:18:31,SENTINEL-2A,38.9727970378333,0.078347
926,2023-07-15T17:18:30.720000,SENTINEL-2A,13.026187703425,0.210728
923,2023-07-15T17:18:38.569000,SENTINEL-2A,6.1602721101791,0.028725
294,2023-07-25T17:18:30.773000,SENTINEL-2A,37.4177491116486,0.080435
249,2023-08-04T17:18:30.958000,SENTINEL-2A,55.2547702230583,0.069994
246,2023-08-14T17:18:31.326000,SENTINEL-2A,64.50231419272,0.119229
574,2023-09-03T17:18:31.184000,SENTINEL-2A,10.2778225686046,0.246580
577,2023-09-13T17:18:30.296000,SENTINEL-2A,11.4653468303025,0.253208
927,2023-09-23T17:18:27.786000,SENTINEL-2A,1.16097823165816,0.313884
394,2023-10-03T17:18:27.501000,SENTINEL-2A,15.1204574636448,0.235343
396,2023-10-13T17:18:23.931000,SENTINEL-2A,12.2456926154857,0.239029
1046,2023-10-23T17:18:25.921000,SENTINEL-2A,11.6705186777748,0.183620
836,2023-11-02T17:18:24.452000,SENTINEL-2A,30.5297858998477,0.093670
840,2023-11-12T17:18:25.144518,SENTINEL-2A,25.8351398966825,0.193723
839,2023-11-22T17:18:21.737000,SENTINEL-2A,86.30353250321,0.028077
742,2023-12-02T17:18:18.102000,SENTINEL-2A,33.2103675833856,0.084104
737,2023-12-12T17:18:21.286000,SENTINEL-2A,4.69518349308728,0.187561
736,2023-12-12T17:18:29.249000,SENTINEL-2A,0.386716790628186,0.030450
738,2023-12-22T17:18:22.188000,SENTINEL-2A,0.154020723222551,0.209254
758,2024-01-01T17:18:22.782000,SENTINEL-2A,0.0,0.200821
756,2024-01-11T17:18:20.474000,SENTINEL-2A,0.74899220639613,0.162185
757,2024-01-21T17:18:18.330000,SENTINEL-2A,44.3665382662964,0.070303
759,2024-01-31T17:18:21.399000,SENTINEL-2A,58.3362298068022,0.112238
1037,2024-02-10T17:18:22.472000,SENTINEL-2A,0.0,0.175466
1036,2024-02-20T17:18:23.801000,SENTINEL-2A,0.0,0.194136
350,2024-03-01T17:18:25.978000,SENTINEL-2A,0.108184777090985,0.150329
348,2024-03-21T17:18:26.997000,SENTINEL-2A,0.498492042163098,0.159976
999,2024-03-31T17:18:24.796000,SENTINEL-2A,4.16178446654125,0.133224
648,2024-04-20T17:18:29.192000,SENTINEL-2A,16.577562781809,0.101863
172,2024-04-30T17:18:28.654000,SENTINEL-2A,9.07450207530831,0.134504
841,2025-08-25T17:18:40.356000,SENTINEL-2A,22.6527815103467,0.243137
611,2025-09-14T17:18:39.074000,SENTINEL-2A,19.1819403386187,0.219762
1022,2025-10-14T17:18:39.548000,SENTINEL-2A,2.02475439696617,0.307049
1058,2025-11-03T17:18:42.352000,SENTINEL-2A,6.38944130908657,0.286294
1062,2025-11-23T17:18:42.879000,SENTINEL-2A,1.56388664934755,0.213809
662,2025-12-13T17:18:40.569000,SENTINEL-2A,28.3990564065813,0.091674
618,2026-01-02T17:18:47.635000,SENTINEL-2A,0.0,0.213412
617,2026-01-12T17:18:47.203000,SENTINEL-2A,6.30950461345516,0.184368
